,city,icao,lat,lon,name,state,LL,JA
269,Carrabassett,KB21,45.0862007141,-70.2162017822,Sugarloaf Regional Airport,Maine,4.59,3.49
270,Westfield/Springfield,KBAF,42.1577987671,-72.7155990601,Barnes Municipal Airport,Massachusetts,4.75,5.35
271,Columbus,KBAK,39.2619018555,-85.8963012695,Columbus Municipal Airport,Indiana,5.45,3.62
272,Battle Mountain,KBAM,40.5989990234,-116.8740005493,Battle Mountain Airport,Nevada,4.09,3.49
273,Bad Axe,KBAX,43.78020096,-82.98539734,Huron County Memorial Airport,Michigan,3.85,2.60
274,New Braunfels,KBAZ,29.7045001984,-98.0421981812,New Braunfels Municipal Airport,Texas,3.99,3.20
275,Benson,KBBB,45.3319015503,-95.6505966187,Benson Municipal Airport,Minnesota,3.25,3.23
276,Brady,KBBD,31.1793003082,-99.3238983154,Curtis Field,Texas,3.39,2.99
277,Branson,KBBG,36.532082,-93.200544,Branson Airport,Missouri,4.49,4.29
278,Bennettsville,KBBP,34.62170029,-79.73439789,Marlboro County Jetport H.E. Avent Field,South-Carolina,5.00,3.89
279,Broken Bow,KBBW,41.4365005493,-99.6421966553,Broken Bow Municipal Airport,Nebraska,4.68,3.82
280,Blacksburg,KBCB,37.2075996399,-80.4077987671,Virginia Tech Montgomery Executive Airport,Virginia,5.08,2.83
281,Bryce Canyon,KBCE,37.706401825,-112.144996643,Bryce Canyon Airport,Utah,5.05,4.30
282,Black River Falls,KBCK,44.2507019043,-90.8553009033,Black River Falls Area Airport,Wisconsin,4.85,4.31
283,Boca Raton,KBCT,26.3784999847,-80.1076965332,Boca Raton Airport,Florida,5.49,4.12
284,Baudette,KBDE,48.7284011841,-94.612197876,Baudette International Airport,Minnesota,4.79,5.10
285,Blanding,KBDG,37.58330154,-109.4830017,Blanding Municipal Airport,Utah,5.70,4.95
286,Willmar,KBDH,45.11769867,-95.13040161,Willmar Municipal -John L Rice Field,Minnesota,N/A,2.97
287,Hartford,KBDL,41.9388999939,-72.6831970215,Bradley International Airport,Connecticut,4.99,4.97
288,Bend,KBDN,44.09479904,-121.2009964,Bend Municipal Airport,Oregon,3.95,4.04
289,Morrilton,KBDQ,35.1361999512,-92.7135009766,Morrilton Municipal Airport,Arkansas,3.65,3.75
290,Bridgeport,KBDR,41.1635017395,-73.1261978149,Igor I Sikorsky Memorial Airport,Connecticut,5.40,3.65
291,Boulder,KBDU,40.0393981934,-105.225997925,Boulder Municipal Airport,Colorado,3.79,3.89
292,Beeville,KBEA,28.3619003296,-97.7910003662,Beeville Municipal Airport,Texas,3.99,2.50
293,Bedford,KBED,42.47000122,-71.28900146,Laurence G Hanscom Field,Massachusetts,4.45,4.25
294,Benton Harbor,KBEH,42.1286010742,-86.4284973145,Southwest Michigan Regional Airport,Michigan,3.99,4.50
295,Brownfield,KBFE,33.1730995178,-102.1930007935,Terry County Airport,Texas,3.25,2.66
296,Scottsbluff,KBFF,41.87400055,-103.5960007,Western Neb. Rgnl/William B. Heilig Airport,Nebraska,4.69,3.63
297,Seattle,KBFI,47.5299987793,-122.3020019531,Boeing Field King County International Airport,Washington,4.99,3.83
298,Bakersfield,KBFL,35.43360138,-119.0569992,Meadows Field,California,5.58,4.62
299,Mobile,KBFM,30.6268005371,-88.0680999756,Mobile Downtown Airport,Alabama,5.35,5.77
300,Borger,KBGD,35.7009010315,-101.393997192,Hutchinson County Airport,Texas,2.70,1.98
301,Bainbridge,KBGE,30.9715004,-84.63739777,Decatur County Industrial Air Park,Georgia,4.14,3.99
302,Winchester,KBGF,35.1775016785,-86.0662002563,Winchester Municipal Airport,Tennessee,N/A,3.28
303,Binghamton,KBGM,42.20869827,-75.97979736,Greater Binghamton/Edwin A Link field,New-York,4.99,4.99
304,Bangor,KBGR,44.8073997498,-68.8281021118,Bangor International Airport,Maine,3.07,2.77
305,Bar Harbor,KBHB,44.45000076,-68.3615036,Hancock County-Bar Harbor Airport,Maine,5.33,4.23
306,Baxley,KBHC,31.7138004303,-82.3937988281,Baxley Municipal Airport,Georgia,3.98,3.65
307,Baker,KBHK,46.34759903,-104.2590027,Baker Municipal Airport,Montana,4.25,3.95
308,Birmingham,KBHM,33.56290054,-86.75350189,Birmingham-Shuttlesworth International Airport,Alabama,4.83,5.40
309,Beatrice,KBIE,40.3013000488,-96.7540969849,Beatrice Municipal Airport,Nebraska,4.25,3.95
310,Bishop,KBIH,37.3731002808,-118.363998413,Eastern Sierra Regional Airport,California,4.37,4.17
311,Blakely,KBIJ,31.3974990845,-84.8947982788,Early County Airport,Georgia,3.74,3.90
312,Billings,KBIL,45.8077011108,-108.5429992676,Billings Logan International Airport,Montana,3.75,3.95
313,Bismarck,KBIS,46.7727012634,-100.7460021973,Bismarck Municipal Airport,North-Dakota,2.99,2.99
314,Holland,KBIV,42.7429008484,-86.1073989868,Tulip City Airport,Michigan,4.99,4.79
315,Denver,KBJC,39.90879822,-105.1169968,Rocky Mountain Metropolitan Airport,Colorado,3.99,3.74
316,Bemidji,KBJI,47.50939941,-94.93370056,Bemidji Regional Airport,Minnesota,4.42,4.01
317,Wooster,KBJJ,40.8748016357,-81.8882980347,Wayne County Airport,Ohio,4.48,4.04
318,Breckenridge,KBKD,32.71900177,-98.8909988403,Stephens County Airport,Texas,4.89,5.09
319,Cleveland,KBKL,41.5175018311,-81.6832962036,Burke Lakefront Airport,Ohio,6.98,5.20
320,Falfurrias,KBKS,27.20680046,-98.12120056,Brooks County Airport,Texas,4.69,3.99
321,Blackstone,KBKT,37.0741996765,-77.9574966431,Allen C Perkinson Blackstone Army Air Field,Virginia,4.68,4.10
322,Brooksville,KBKV,28.47360039,-82.45539856,Hernando County Airport,Florida,2.99,3.99
323,Beckley,KBKW,37.7873001099,-81.1241989136,Raleigh County Memorial Airport,West-Virginia,4.85,3.75
324,Brookings,KBKX,44.3047981262,-96.8169021606,Brookings Regional Airport,South-Dakota,5.30,4.95
325,Bluefield,KBLF,37.2957992554,-81.2077026367,Mercer County Airport,Illinois,4.85,3.75
326,Blythe,KBLH,33.6192016602,-114.717002869,Blythe Airport,California,4.84,3.94
327,Bellingham,KBLI,48.7928009033,-122.5380020142,Bellingham International Airport,Washington,5.11,4.27
328,Belmar/Farmingdale,KBLM,40.18690109,-74.12490082,Monmouth Executive Airport,New-Jersey,5.30,4.55
329,Belleville,KBLV,38.54520035,-89.83519745,Scott AFB/Midamerica Airport,Illinois,4.53,2.33
330,Brigham City,KBMC,41.5523986816,-112.06199646,Brigham City Airport,Utah,4.65,3.50
331,Bloomington,KBMG,39.1459999084,-86.6166992188,Monroe County Airport,Alabama,4.70,4.00
332,Bloomington-Normal,KBMI,40.47710037,-88.91590118,Central Illinois Regional Airport at Bloomington-Normal,Illinois,5.45,3.34
333,Berlin,KBML,44.57540131,-71.17590332,Berlin Regional Airport,New-Hampshire,N/A,5.00
334,Burnet,KBMQ,30.738899231,-98.2386016846,Burnet Municipal Kate Craddock Field,Texas,2.99,3.55
335,Beaumont,KBMT,30.0706996918,-94.2157974243,Beaumont Municipal Airport,Texas,3.52,2.72
336,Nashville,KBNA,36.1245002747,-86.6781997681,Nashville International Airport,Tennessee,4.10,3.49
337,Burns,KBNO,43.5918998718,-118.955001831,Burns Municipal Airport,Oregon,5.35,3.95
338,Boise,KBOI,43.56439972,-116.2229996,Boise Air Terminal/Gowen field,Idaho,4.25,4.49
339,Boston,KBOS,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,Massachusetts,4.45,4.25
340,Bartow,KBOW,27.9433994293,-81.7834014893,Bartow Municipal Airport,Florida,2.95,4.02
341,Big Spring,KBPG,32.21260071,-101.5220032,Big Spring Mc Mahon-Wrinkle Airport,Texas,3.80,3.40
342,Big Piney,KBPI,42.58509827,-110.1110001,Miley Memorial Field,Wyoming,4.85,3.71
343,Mountain Home,KBPK,36.3689002991,-92.4704971313,Ozark Regional Airport,Arkansas,4.29,4.18
344,Beaumont/Port Arthur,KBPT,29.950799942,-94.0206985474,Southeast Texas Regional Airport,Texas,4.80,4.00
345,Brunswick,KBQK,31.2588005066,-81.4664993286,Brunswick Golden Isles Airport,Georgia,4.00,3.65
346,Brainerd,KBRD,46.39830017,-94.13809967,Brainerd Lakes Regional Airport,Minnesota,4.39,4.27
347,Burlington,KBRL,40.7831993103,-91.12550354,Southeast Iowa Regional Airport,Iowa,3.89,3.49
348,Brownsville,KBRO,25.9067993164,-97.4259033203,Brownsville South Padre Island International Airport,Texas,4.95,3.29
349,Bardstown,KBRY,37.8143005371,-85.4996032715,Samuels Field,Kentucky,3.79,4.82
350,Blair,KBTA,41.4180984497,-96.1136016846,Blair Municipal Airport,Nebraska,3.79,2.99
351,Battle Creek,KBTL,42.3073005676,-85.2515029907,W K Kellogg Airport,Michigan,4.39,2.99
352,Butte,KBTM,45.9547996521,-112.4970016479,Bert Mooney Airport,Montana,5.15,3.45
353,Butler,KBTP,40.77690125,-79.9496994,Butler County-K W Scholter Field,Pennsylvania,4.93,2.75
354,Baton Rouge,KBTR,30.53319931,-91.14959717,Baton Rouge Metropolitan Ryan Field,Louisiana,5.07,4.99
355,Burlington,KBTV,44.4719009399,-73.1532974243,Burlington International Airport,Vermont,5.19,4.05
356,Buffalo,KBUF,42.94049835,-78.73220062,Buffalo Niagara International Airport,New-York,6.10,5.56
357,Burbank,KBUR,34.2006988525,-118.3590011597,Bob Hope Airport,California,6.55,4.28
358,Burlington,KBUU,42.690700531,-88.3046035767,Burlington Municipal Airport,Iowa,3.19,1.59
359,Burlington,KBUY,36.048500061,-79.474899292,Burlington Alamance Regional Airport,North-Carolina,5.55,5.19
360,Beaver Falls,KBVI,40.7724990845,-80.3914031982,Beaver County Airport,Pennsylvania,4.93,2.75
361,Bartlesville,KBVO,36.76250076,-96.01119995,Bartlesville Municipal Airport,Oklahoma,3.98,3.29
362,Burlington/Mount Vernon,KBVS,48.4709014893,-122.4209976196,Skagit Regional Airport,Washington,3.79,3.00
363,Boulder City,KBVU,35.9474983215,-114.861000061,Boulder City Municipal Airport,Nevada,4.65,4.39
364,Batesville,KBVX,35.7262001,-91.64730072,Batesville Regional Airport,Arkansas,4.75,4.50
365,Beverly,KBVY,42.5842018127,-70.9164962769,Beverly Municipal Airport,Massachusetts,4.45,4.25
366,Brawley,KBWC,32.99290085,-115.5169983,Brawley Municipal Airport,California,3.50,3.79
367,Brownwood,KBWD,31.7936000824,-98.9564971924,Brownwood Regional Airport,Texas,3.75,3.76
368,Bowling Green,KBWG,36.9645004272,-86.4197006226,Bowling Green Warren County Regional Airport,Kentucky,4.15,3.99
369,Baltimore,KBWI,39.17539978,-76.66829681,Baltimore/Washington International Thurgood Marshal Airport,Maryland,3.07,3.78
370,Wahpeton,KBWP,46.2440986633,-96.6073989868,Harry Stern Airport,North-Dakota,2.99,4.08
371,Bogalusa,KBXA,30.8136997223,-89.8649978638,George R Carr Memorial Air Field,Louisiana,4.69,4.69
372,Brunswick,KBXM,43.8923551,-69.9388297,Brunswick Executive Airport,Maine,5.69,4.89
373,Buffalo,KBYG,44.3810997009,-106.7220001221,Johnson County Airport,Wyoming,3.99,5.00
374,Blytheville,KBYH,35.9642982483,-89.9440002441,Arkansas International Airport,Arkansas,N/A,3.43
375,Burley,KBYI,42.5425987244,-113.7720031738,Burley Municipal Airport,Idaho,4.70,4.70
376,Bay City,KBYY,28.9733009338,-95.8635025024,Bay City Municipal Airport,Texas,3.15,2.00
377,Bozeman,KBZN,45.77750015,-111.1529999,Gallatin Field,Montana,4.80,4.30
378,Morris,KC09,41.42539978,-88.41870117,Morris Municipal James R. Washburn field,Illinois,3.80,3.80
379,Urbana,KC16,40.1464004517,-88.1985015869,Frasca Field,Illinois,5.20,4.09
380,Middleton,KC29,43.1142997742,-89.53150177,Middleton Municipal Morey Field,Wisconsin,3.75,3.05
381,Reedsburg,KC35,43.5259017944,-89.9832000732,Reedsburg Municipal Airport,Wisconsin,3.99,N/A
382,Portage,KC47,43.5602989197,-89.4829025269,Portage Municipal Airport,Wisconsin,3.74,4.55
383,Kendallville,KC62,41.4726982117,-85.2608032227,Kendallville Municipal Airport,Indiana,4.75,3.75
384,Columbia,KCAE,33.9388008118,-81.1194992065,Columbia Metropolitan Airport,South-Carolina,4.51,3.13
385,Craig,KCAG,40.4952011108,-107.5220031738,Craig Moffat Airport,Colorado,5.00,4.00
386,Akron,KCAK,40.9160995483,-81.442199707,Akron Canton Regional Airport,Ohio,5.53,4.50
387,Clayton,KCAO,36.4462013245,-103.166999817,Clayton Municipal Airpark,New-Mexico,4.70,4.10
388,Cumberland,KCBE,39.615398407,-78.7609024048,Greater Cumberland Regional Airport,West-Virginia,4.65,3.60
389,Council Bluffs,KCBF,41.2592010498,-95.760597229,Council Bluffs Municipal Airport,Iowa,3.65,2.79
390,Colby,KCBK,39.42750168,-101.0469971,Shalz Field,Kansas,4.38,2.90
391,Upland,KCCB,34.1115989685,-117.68800354,Cable Airport,California,3.39,2.46
392,Atlanta,KCCO,33.3115997314,-84.7697982788,Newnan Coweta County Airport,Georgia,2.89,2.89
393,Concord,KCCR,37.9897003174,-122.056999207,Buchanan Field,California,4.50,3.60
394,Charles City,KCCY,43.0726013184,-92.6108016968,Northeast Iowa Regional Airport,Iowa,3.85,3.80
395,Cedar City,KCDC,37.7010002136,-113.0989990234,Cedar City Regional Airport,Utah,4.90,5.15
396,Cambridge,KCDI,39.9749984741,-81.5775985718,Cambridge Municipal Airport,Ohio,N/A,3.63
397,Camden,KCDN,34.2835998535,-80.5649032593,Woodward Field,New-York,4.95,3.95
398,Chadron,KCDR,42.837600708,-103.095001221,Chadron Municipal Airport,Nebraska,5.12,4.15
399,Childress,KCDS,34.4337997437,-100.288002014,Childress Municipal Airport,Texas,4.10,3.25
400,Caldwell,KCDW,40.8751983643,-74.2814025879,Essex County Airport,New-Jersey,5.44,4.50
401,Crescent City,KCEC,41.78020096,-124.2369995,Jack Mc Namara Field Airport,California,4.89,4.80
402,Springfield/Chicopee,KCEF,42.19400024,-72.53479767,Westover ARB/Metropolitan Airport,Massachusetts,5.23,4.25
403,Clemson,KCEU,34.6719017,-82.8864975,Oconee County Regional Airport,South-Carolina,4.60,4.35
404,Connersville,KCEV,39.6985015869,-85.129699707,Mettel Field,Indiana,4.80,3.65
405,Crestview,KCEW,30.778799057,-86.522102356,Bob Sikes Airport,Florida,4.25,3.95
406,Murray,KCEY,36.66460037,-88.37280273,Kyle Oakley Field,Kentucky,3.50,3.00
407,Cortez,KCEZ,37.3030014038,-108.627998352,Cortez Municipal Airport,Colorado,5.70,4.95
408,Bryan,KCFD,30.7157001495,-96.3313980103,Coulter Field,Texas,4.12,2.86
409,Caro,KCFS,43.4588012695,-83.4455032349,Tuscola Area Airport,Michigan,4.65,4.19
410,Coffeyville,KCFV,37.09400177,-95.5718994141,Coffeyville Municipal Airport,Kansas,3.96,3.90
411,Crystal River,KCGC,28.8673000336,-82.5712966919,Crystal River Airport,Florida,5.20,5.05
412,Cambridge,KCGE,38.53929901,-76.03040314,Cambridge Dorchester Airport,Maryland,4.62,3.02
413,Cleveland,KCGF,41.5651016235,-81.4863967896,Cuyahoga County Airport,Ohio,6.90,4.95
414,Cape Girardeau,KCGI,37.2252998352,-89.5708007813,Cape Girardeau Regional Airport,Missouri,3.26,2.98
415,College Park,KCGS,38.9805984497,-76.9223022461,College Park Airport,Maryland,N/A,3.85
416,Casa Grande,KCGZ,32.9548988342,-111.766998291,Casa Grande Municipal Airport,Arizona,3.39,3.10
417,Chattanooga,KCHA,35.0353012085,-85.2037963867,Lovell Field,Tennessee,4.76,5.17
418,Chandler,KCHD,33.2691001892,-111.8109970093,Chandler Municipal Airport,Arizona,4.25,3.45
419,Charlottesville,KCHO,38.1385993958,-78.4529037476,Charlottesville Albemarle Airport,Virginia,5.75,5.45
420,Charleston,KCHS,32.89860153,-80.04049683,Charleston Air Force Base-International Airport,South-Carolina,6.27,4.53
421,Chico,KCIC,39.79539871,-121.8580017,Chico Municipal Airport,California,4.89,4.24
422,Cedar Rapids,KCID,41.8847007751,-91.7108001709,The Eastern Iowa Airport,Iowa,3.89,2.99
423,Choteau,KCII,47.8283004761,-112.1679992676,Choteau Airport,Montana,4.45,4.30
424,Carroll,KCIN,42.0461997986,-94.7890014648,Arthur N Neu Airport,Iowa,4.00,3.00
425,Sault Ste Marie,KCIU,46.2508010864,-84.4723968506,Chippewa County International Airport,Michigan,5.00,4.25
426,Culpeper,KCJR,38.5266990662,-77.8589019775,Culpeper Regional Airport,Virginia,4.25,3.95
427,Clarksburg,KCKB,39.2966003418,-80.2281036377,North Central West Virginia Airport,West-Virginia,3.48,3.96
428,Grand Marais,KCKC,47.8382987976,-90.3828964233,Grand Marais Cook County Airport,Minnesota,4.94,4.35
429,Cordele,KCKF,31.988800050000002,-83.77390289,Crisp County Cordele Airport,Georgia,4.57,2.65
430,Clarksdale,KCKM,34.2997016907,-90.512298584,Fletcher Field,Mississippi,4.75,2.99
431,Clarksville,KCKV,36.6218986511,-87.4150009155,Outlaw Field,Tennessee,3.45,3.00
432,Perkasie,KCKZ,40.3891983032,-75.2904968262,Pennridge Airport,Pennsylvania,4.66,3.80
433,Cleveland,KCLE,41.4117012024,-81.8498001099,Cleveland Hopkins International Airport,Ohio,7.50,5.03
434,Clintonville,KCLI,44.6138000488,-88.731300354,Clintonville Municipal Airport,Wisconsin,3.75,2.99
435,Clinton,KCLK,35.53829956,-98.93270111,Clinton Regional Airport,Oklahoma,N/A,3.02
436,College Station,KCLL,30.58860016,-96.36380005,Easterwood Field,Texas,2.49,2.59
437,Port Angeles,KCLM,48.1202011108,-123.5,William R Fairchild International Airport,Washington,5.98,3.71
438,Chehalis,KCLS,46.6769981384,-122.983001709,Chehalis Centralia Airport,Washington,3.41,2.08
439,Charlotte,KCLT,35.2140007019,-80.9430999756,Charlotte Douglas International Airport,North-Carolina,4.19,4.64
440,Clearwater,KCLW,27.9766998291,-82.7586975098,Clearwater Air Park,Florida,4.55,3.99
441,Camarillo,KCMA,34.2136993408,-119.09400177,Camarillo Airport,California,4.70,2.75
442,Columbus,KCMH,39.9980010986,-82.8918991089,Port Columbus International Airport,Ohio,5.19,3.25
443,Champaign/Urbana,KCMI,40.03919983,-88.27809906,University of Illinois Willard Airport,Illinois,4.85,3.79
444,Williams,KCMR,35.30220032,-112.1940002,H.A. Clark Memorial Field,Arizona,3.39,3.39
445,Hancock,KCMX,47.1683998108,-88.4890975952,Houghton County Memorial Airport,Michigan,N/A,4.30
446,Canby,KCNB,44.72949982,-96.26599884,Myers Field,Minnesota,4.55,3.75
447,Concordia,KCNK,39.5493011475,-97.6522979736,Blosser Municipal Airport,Kansas,4.39,3.60
448,Carlsbad,KCNM,32.3375015259,-104.2630004883,Cavern City Air Terminal,New-Mexico,4.90,3.90
449,Chino,KCNO,33.97470093,-117.637001,Chino Airport,California,3.99,2.95
450,Chanute,KCNU,37.668800354,-95.4850997925,Chanute Martin Johnson Airport,Kansas,4.25,3.41
451,Waco,KCNW,31.6378002167,-97.0740966797,TSTC Waco Airport,Texas,4.96,3.35
452,Moab,KCNY,38.75500107,-109.7549973,Canyonlands Field,Utah,5.30,4.72
453,Cody,KCOD,44.520198822,-109.0240020752,Yellowstone Regional Airport,Wyoming,4.49,4.20
454,Coeur d'Alene,KCOE,47.77429962,-116.8199997,Coeur D'Alene - Pappy Boyington Field,Idaho,4.79,4.45
455,Merritt Island,KCOI,28.3416004181,-80.6855010986,Merritt Island Airport,Florida,4.20,4.64
456,Concord,KCON,43.20270157,-71.50229645,Concord Municipal Airport,New-Hampshire,4.50,5.50
457,Colorado Springs,KCOS,38.8058013916,-104.7009963989,City of Colorado Springs Municipal Airport,Colorado,4.59,3.73
458,Cotulla,KCOT,28.45669937,-99.22029877,Cotulla-La Salle County,Texas,4.29,3.29
459,Columbia,KCOU,38.8180999756,-92.2195968628,Columbia Regional Airport,Missouri,5.18,2.82
460,Norfolk,KCPK,36.66559982,-76.3207016,Chesapeake Regional Airport,Virginia,4.69,3.39
461,Casper,KCPR,42.90800095,-106.4639969,Casper-Natrona County International Airport,Wyoming,5.05,5.90
462,Cahokia/St Louis,KCPS,38.5707015991,-90.1561965942,St Louis Downtown Airport,Illinois,5.85,5.67
463,Cleburne,KCPT,32.3538017273,-97.4337005615,Cleburne Municipal Airport,Texas,2.80,3.00
464,Celina,KCQA,40.4841003418,-84.5600967407,Lakefield Airport,Ohio,4.53,3.68
465,Chandler,KCQB,35.7238006592,-96.8202972412,Chandler Regional Airport,Oklahoma,3.89,2.75
466,Cook,KCQM,47.8218994141,-92.6893997192,Cook Municipal Airport,Minnesota,4.17,N/A
467,Cheraw,KCQW,34.71289825,-79.95700073,Cheraw Municipal Lynch Bellinger Field,South-Carolina,N/A,4.25
468,Chatham,KCQX,41.6884002686,-69.9895019531,Chatham Municipal Airport,Massachusetts,N/A,4.54
469,North Myrtle Beach,KCRE,33.8116989136,-78.7238998413,Grand Strand Airport,South-Carolina,3.97,3.69
470,Jacksonville,KCRG,30.3362998962,-81.5143966675,Craig Municipal Airport,Florida,4.20,2.37
471,Corpus Christi,KCRP,27.7703990936,-97.5011978149,Corpus Christi International Airport,Texas,3.70,4.20
472,Carlsbad,KCRQ,33.12829971,-117.2799988,Mc Clellan-Palomar Airport,California,4.99,4.81
473,Crossett,KCRT,33.1782989502,-91.8802032471,Z M Jack Stell Field,Arkansas,3.95,3.15
474,Charleston,KCRW,38.3731002808,-81.5932006836,Yeager Airport,West-Virginia,4.55,3.36
475,Corinth,KCRX,34.9150009155,-88.6035003662,Roscoe Turner Airport,Mississippi,3.50,2.73
476,Columbus,KCSG,32.5163002014,-84.9389038086,Columbus Metropolitan Airport,Georgia,4.03,4.65
477,Crossville,KCSV,35.9513015747,-85.0849990845,Crossville Memorial Whitson Field,Tennessee,3.99,3.30
478,Cut Bank,KCTB,48.6083984375,-112.3759994507,Cut Bank Municipal Airport,Montana,4.26,3.23
479,Clinton,KCTZ,34.9756011963,-78.3646011353,Sampson County Airport,North-Carolina,4.35,4.19
480,Columbia,KCUB,33.970500946,-80.9952011108,Jim Hamilton L.B. Owens Airport,South-Carolina,4.56,3.60
481,Cushing,KCUH,35.9499015808,-96.7731018066,Cushing Municipal Airport,Oklahoma,3.49,2.89
482,Carmi,KCUL,38.0895004272,-88.1231002808,Carmi Municipal Airport,Illinois,4.55,2.95
483,Castroville,KCVB,29.3418998718,-98.8508987427,Castroville Municipal Airport,Texas,3.50,2.95
484,Atlanta,KCVC,33.6322475,-83.8466189,Covington Municipal Airport,Georgia,3.69,3.34
485,Hebron,KCVG,39.0488014221,-84.6678009033,Cincinnati Northern Kentucky International Airport,Kentucky,4.50,3.84
486,Hollister,KCVH,36.8932991028,-121.410003662,Hollister Municipal Airport,California,3.95,3.53
487,Ash Flat,KCVK,36.26490021,-91.56259918,Sharp County Regional Airport,Arkansas,4.25,N/A
488,Clovis,KCVN,34.4250984192,-103.07900238,Clovis Municipal Airport,New-Mexico,4.84,2.74
489,Corvallis,KCVO,44.49720001,-123.2900009,Corvallis Municipal Airport,Oregon,5.09,4.89
490,Charlevoix,KCVX,45.3047981262,-85.2748031616,Charlevoix Municipal Airport,Michigan,4.42,4.53
491,Mosinee,KCWA,44.7775993347,-89.6668014526,Central Wisconsin Airport,Wisconsin,4.09,3.74
492,Wichita Falls,KCWC,33.85779953,-98.49040221999999,Kickapoo Downtown Airport,Texas,3.41,2.86
493,Lake Charles,KCWF,30.2105998993,-93.1432037354,Chennault International Airport,Louisiana,2.99,3.75
494,Clinton,KCWI,41.8311004639,-90.3291015625,Clinton Municipal Airport,Arkansas,3.60,3.70
495,Calexico,KCXL,32.6694984436,-115.5130004883,Calexico International Airport,California,4.75,3.56
496,Houston,KCXO,30.3518009186,-95.4144973755,Lone Star Executive Airport,Texas,3.99,3.50
497,Carson City,KCXP,39.192199707,-119.7340011597,Carson Airport,Nevada,3.95,2.75
498,Camilla,KCXU,31.2129001617,-84.2368011475,Camilla Mitchell County Airport,Georgia,3.95,3.90
499,Harrisburg,KCXY,40.2170982361,-76.8515014648,Capital City Airport,Pennsylvania,4.42,4.26
500,Circleville,KCYO,39.51599884,-82.98210144,Pickaway County Memorial Airport,Ohio,4.75,3.00
501,Cheyenne,KCYS,41.15570068,-104.8119965,Cheyenne Regional Jerry Olson Field,Wyoming,4.00,2.99
502,Cozad,KCZD,40.86909866,-100.0039978,Cozad Municipal Airport,Nebraska,4.58,3.95
503,Carrizo Springs,KCZT,28.5221996307,-99.823600769,Dimmit County Airport,Texas,3.95,4.15
504,Tioga,KD60,48.38050079,-102.8980026,Tioga Municipal Airport,North-Dakota,5.25,5.10
505,Lapeer,KD95,43.0666007996,-83.2723007202,Dupont Lapeer Airport,Michigan,4.60,3.78
506,Romeo,KD98,42.79610062,-82.97499847,Romeo State Airport,Michigan,4.49,2.97
507,Daytona Beach,KDAB,29.1798992157,-81.0580978394,Daytona Beach International Airport,Florida,4.03,4.82
508,Daggett,KDAG,34.85369873,-116.7870026,Barstow Daggett Airport,California,5.95,5.70
509,Dallas,KDAL,32.8470993042,-96.8517990112,Dallas Love Field,Texas,4.19,3.74
510,Danville,KDAN,36.5728988647,-79.3360977173,Danville Regional Airport,Virginia,5.00,3.15
511,Dayton,KDAY,39.9024009705,-84.2193984985,James M Cox Dayton International Airport,Ohio,4.90,3.44
512,Dublin,KDBN,32.56439972,-82.98529816,W H 'Bud' Barron Airport,Georgia,4.25,4.00
513,Dubuque,KDBQ,42.40200043,-90.70950317,Dubuque Regional Airport,Iowa,4.19,3.72
514,Chester,KDCM,34.7892990112,-81.1958007813,Chester Catawba Regional Airport,South-Carolina,4.85,4.55
515,Decatur,KDCU,34.6526985168,-86.9453964233,Pryor Field Regional Airport,Alabama,4.50,4.30
516,Washington,KDCY,38.7004013062,-87.129699707,Daviess County Airport,Indiana,3.98,3.65
517,Dodge City,KDDC,37.7634010315,-99.9655990601,Dodge City Regional Airport,Kansas,4.24,2.82
518,Decatur,KDEC,39.8345985413,-88.8656997681,Decatur Airport,Illinois,5.74,4.79
519,Decorah,KDEH,43.27550125,-91.73940277,Decorah Municipal Airport,Iowa,4.25,3.80
520,Denver,KDEN,39.8616981506,-104.672996521,Denver International Airport,Colorado,7.00,6.31
521,De Queen,KDEQ,34.047000885,-94.3993988037,J Lynn Helms Sevier County Airport,Arkansas,4.26,3.74
522,Detroit,KDET,42.40919876,-83.00990295,Coleman A. Young Municipal Airport,Michigan,4.50,6.99
523,Deer Park,KDEW,47.96659851,-117.427002,Deer Park Airport,Washington,4.98,3.90
524,Defiance,KDFI,41.3375015259,-84.4288024902,Defiance Memorial Airport,Ohio,4.27,3.20
525,Dallas-Fort Worth,KDFW,32.8968009949,-97.0380020142,Dallas Fort Worth International Airport,Texas,5.10,4.40
526,Dothan,KDHN,31.3213005066,-85.4496002197,Dothan Regional Airport,Alabama,4.61,4.31
527,Dalhart,KDHT,36.0225982666,-102.54699707,Dalhart Municipal Airport,Texas,3.38,2.39
528,Driggs,KDIJ,43.742401123,-111.0979995728,Driggs Reed Memorial Airport,Idaho,4.85,3.95
529,Dickinson,KDIK,46.7974014282,-102.802001953,Dickinson Theodore Roosevelt Regional Airport,North-Dakota,4.49,4.59
530,De Kalb,KDKB,41.93370056,-88.70570374,De Kalb Taylor Municipal Airport,Illinois,3.10,2.70
531,Dunkirk,KDKK,42.49330139,-79.27200317,Chautauqua County-Dunkirk Airport,New-York,4.95,4.19
532,Knoxville,KDKX,35.9639015198,-83.8739013672,Knoxville Downtown Island Airport,Tennessee,4.98,4.89
533,Duluth,KDLH,46.8420982361,-92.1936035156,Duluth International Airport,Minnesota,4.49,3.50
